Jmeno|Zeme|Modra draha|Cervena draha|Celkovy cas
Julie Zogg|SUI|47.05|47.33|1:34.38
Ester Ledecka|CZE|45.04|45.75|1:30.79
Sabine Payer|AUT|46.73|47.02|1:33.75
Lucia Dalmasso|ITA|45.92|46.28|1:32.20
Zuzana Maderova|CZE|45.38|46.10|1:31.48
Tsubaki Miki|JPN|46.15|46.72|1:32.87
Elisa Caffont|ITA|46.80|47.22|1:34.02
Daniela Ulbing|AUT|46.98|47.17|1:34.15
Michelle Dekker|NED|46.22|46.90|1:33.12
